timestamp,price,vwap_ratio,volume_accel,orderbook_imbal,volatility,liquidity,momentum,direction
1766345059496,125.3672,127,0,128,2,253,128,0
1766345069563,125.3650,127,0,128,2,253,128,0
1766345079628,125.3724,127,0,128,2,253,128,0
1766345089699,125.3724,127,0,128,2,253,128,0
1766345099781,125.3728,127,0,128,1,253,128,0
1766345109854,125.3638,127,0,127,1,253,128,0
1766345119936,125.3455,128,76,127,2,253,128,0
1766345130016,125.3511,128,70,127,2,253,128,0
1766345140176,125.3460,128,255,127,1,253,127,0
1766345150260,125.3330,128,255,127,1,253,127,0
1766345160343,125.3598,127,255,127,2,253,127,0
1766345170416,125.3630,127,255,128,2,253,127,0
1766345180496,125.3692,127,237,128,2,253,128,0
1766345190659,125.3649,127,245,128,2,253,127,0
1766345200741,125.3576,128,212,128,2,253,127,0
1766345210820,125.3536,128,0,127,2,253,127,0
1766345220900,125.3585,127,0,127,2,253,127,0
