timestamp,pyth_price,dex_price,price_vs_sma,momentum,volatility,liquidity,spread,trend,label
0,120.0,120.5,134,156,14,43,130,0,0
1,120.0,120.5,108,147,33,49,134,170,1
2,120.0,120.5,124,113,46,40,121,85,-1
3,120.0,120.5,140,149,34,46,131,170,1
4,120.0,120.5,121,150,48,50,125,0,-1
5,120.0,120.5,129,104,28,46,122,170,1
6,120.0,120.5,134,116,37,40,121,0,-1
7,120.0,120.5,109,114,7,40,127,170,0
8,120.0,120.5,112,141,12,48,134,85,0
9,120.0,120.5,125,151,8,42,122,170,1
10,120.0,120.5,142,123,45,43,124,85,0
11,120.0,120.5,124,143,14,46,127,0,-1
12,120.0,120.5,133,132,33,40,124,0,-1
13,120.0,120.5,145,105,24,44,133,170,1
14,120.0,120.5,107,153,4,42,128,85,0
15,120.0,120.5,120,137,22,45,126,170,1
16,120.0,120.5,151,151,40,42,123,0,0
17,120.0,120.5,121,122,4,42,132,170,1
18,120.0,120.5,114,129,3,41,135,170,1
19,120.0,120.5,120,134,4,44,134,0,-1
20,120.0,120.5,124,153,1,42,133,85,1
21,120.0,120.5,128,141,5,41,123,170,1
22,120.0,120.5,150,152,5,47,135,170,1
23,120.0,120.5,149,109,35,40,123,0,-1
24,120.0,120.5,148,151,8,44,131,170,1
25,120.0,120.5,124,101,10,47,136,0,-1
26,120.0,120.5,146,112,49,45,129,0,-1
27,120.0,120.5,146,145,14,47,132,85,1
28,120.0,120.5,130,114,7,40,135,0,-1
29,120.0,120.5,151,141,37,50,125,170,1
30,120.0,120.5,105,100,42,42,136,0,-1
31,120.0,120.5,110,131,4,45,128,85,-1
32,120.0,120.5,118,145,11,48,120,85,0
33,120.0,120.5,145,115,15,45,130,170,1
34,120.0,120.5,156,115,33,48,136,0,-1
35,120.0,120.5,118,126,30,40,131,170,1
36,120.0,120.5,139,135,43,46,130,170,1
37,120.0,120.5,145,116,43,46,128,170,1
38,120.0,120.5,131,156,31,42,131,85,1
39,120.0,120.5,113,154,29,46,128,170,1
40,120.0,120.5,109,117,42,41,126,85,-1
41,120.0,120.5,117,108,37,42,121,85,-1
42,120.0,120.5,145,146,35,45,129,85,1
43,120.0,120.5,130,120,48,42,127,0,-1
44,120.0,120.5,117,119,9,49,136,85,-1
45,120.0,120.5,143,104,43,42,133,0,-1
46,120.0,120.5,106,156,11,40,136,0,-1
47,120.0,120.5,112,129,30,48,134,85,-1
48,120.0,120.5,129,107,40,44,120,85,-1
49,120.0,120.5,129,155,21,47,126,85,1
50,120.0,120.5,126,101,38,47,132,85,-1
51,120.0,120.5,131,153,3,50,121,0,-1
52,120.0,120.5,156,151,33,44,124,170,1
53,120.0,120.5,143,129,17,50,126,85,1
54,120.0,120.5,132,137,33,49,123,85,1
55,120.0,120.5,121,119,10,46,124,170,1
56,120.0,120.5,132,125,33,50,131,0,-1
57,120.0,120.5,119,135,28,50,124,0,-1
58,120.0,120.5,126,133,5,50,125,170,1
59,120.0,120.5,124,149,18,45,135,0,-1
60,120.0,120.5,136,121,45,45,124,85,0
61,120.0,120.5,144,135,9,48,123,170,1
62,120.0,120.5,102,119,4,49,125,85,-1
63,120.0,120.5,133,111,28,49,127,170,1
64,120.0,120.5,114,145,28,42,132,170,1
65,120.0,120.5,140,135,46,42,124,170,1
66,120.0,120.5,137,108,48,43,123,170,1
67,120.0,120.5,154,112,3,46,133,170,1
68,120.0,120.5,155,106,49,47,130,0,-1
69,120.0,120.5,102,132,2,40,135,85,-1
70,120.0,120.5,139,120,15,41,124,0,-1
71,120.0,120.5,152,145,40,46,131,170,1
72,120.0,120.5,127,109,18,42,121,85,-1
73,120.0,120.5,135,112,33,43,135,0,-1
74,120.0,120.5,156,142,2,42,128,0,0
75,120.0,120.5,115,130,30,43,132,85,-1
76,120.0,120.5,143,111,0,44,123,170,1
77,120.0,120.5,155,110,42,41,132,85,0
78,120.0,120.5,139,148,5,47,122,170,1
79,120.0,120.5,139,101,38,40,125,85,-1
80,120.0,120.5,115,104,45,47,129,85,-1
81,120.0,120.5,134,119,44,41,121,0,-1
82,120.0,120.5,114,115,8,48,133,85,-1
83,120.0,120.5,127,106,45,50,136,0,-1
84,120.0,120.5,129,144,47,49,134,0,-1
85,120.0,120.5,136,139,28,43,126,85,1
86,120.0,120.5,139,148,2,41,135,0,-1
87,120.0,120.5,153,152,29,41,130,85,1
